+++ ../patho_data/peso/pds_6_HE_small.tif ../patho_data/peso/pds_6_HE_labels.tif
18461 9825 300 300
21855 9591 300 300
23090 8701 300 300
20549 2765 300 300
24229 635 300 300
18765 10386 300 300
20403 6091 300 300
21882 2903 300 300
25145 4064 300 300
21180 2947 300 300
20878 2228 300 300
24168 2688 300 300
25579 705 300 300
23706 1179 300 300
25169 4030 300 300
19159 9556 300 300
22903 275 300 300
24763 9268 300 300
20737 2423 300 300
25361 8024 300 300
+++ ../patho_data/peso/pds_39_HE_small.tif ../patho_data/peso/pds_39_HE_labels.tif
21816 3408 300 300
17787 5326 300 300
21727 6086 300 300
21400 3474 300 300
18293 5996 300 300
16811 3224 300 300
21517 1170 300 300
20436 5410 300 300
16561 3910 300 300
18908 2748 300 300
23328 2548 300 300
20667 8111 300 300
18836 1677 300 300
25478 8496 300 300
22218 1491 300 300
20487 10018 300 300
24251 1784 300 300
17317 1531 300 300
21793 4077 300 300
19398 7304 300 300
+++ ../patho_data/peso/pds_37_HE_small.tif ../patho_data/peso/pds_37_HE_labels.tif
18485 8814 300 300
19360 11357 300 300
18648 2111 300 300
16208 10705 300 300
19398 11211 300 300
15760 2915 300 300
20044 5199 300 300
12661 6703 300 300
20930 1056 300 300
15953 2719 300 300
19409 10792 300 300
22360 4431 300 300
16014 3152 300 300
17098 8092 300 300
19470 8121 300 300
17597 1994 300 300
21679 2514 300 300
15647 1305 300 300
14875 6896 300 300
17266 8656 300 300
+++ ../patho_data/peso/pds_31_HE_small.tif ../patho_data/peso/pds_31_HE_labels.tif
16341 8060 300 300
15498 6589 300 300
16596 6226 300 300
21668 4595 300 300
19109 3812 300 300
12618 4809 300 300
14972 443 300 300
15041 3423 300 300
10187 3377 300 300
18378 9920 300 300
17649 881 300 300
19300 2371 300 300
12941 959 300 300
19191 5293 300 300
13471 4612 300 300
16239 3451 300 300
18117 3231 300 300
15765 1175 300 300
11559 5394 300 300
15828 6088 300 300
+++ ../patho_data/peso/pds_32_HE_small.tif ../patho_data/peso/pds_32_HE_labels.tif
14690 3173 300 300
18219 1784 300 300
20246 6308 300 300
11799 4862 300 300
17400 9842 300 300
14546 8145 300 300
23818 5368 300 300
14564 10158 300 300
23337 3561 300 300
10743 6770 300 300
18721 4861 300 300
19290 5546 300 300
11329 7220 300 300
17360 3014 300 300
21279 3843 300 300
16457 3076 300 300
12722 9591 300 300
18273 8147 300 300
16668 10672 300 300
13272 3468 300 300
