+++ ../patho_data/peso/pds_33_HE_small.tif ../patho_data/peso/pds_33_HE_labels.tif
14310 4026 300 300
24026 5603 300 300
23619 5570 300 300
18323 3998 300 300
17618 3422 300 300
21878 2866 300 300
19011 5689 300 300
23320 6092 300 300
25746 4778 300 300
16791 6108 300 300
22919 3447 300 300
23152 7365 300 300
25979 5601 300 300
21237 3956 300 300
25484 7638 300 300
24379 5536 300 300
25210 5505 300 300
18803 5399 300 300
19130 1930 300 300
22524 3569 300 300
+++ ../patho_data/peso/pds_37_HE_small.tif ../patho_data/peso/pds_37_HE_labels.tif
17526 8515 300 300
11132 9919 300 300
18960 6982 300 300
16898 5845 300 300
12639 3580 300 300
15624 6092 300 300
12762 8305 300 300
18454 1017 300 300
11876 6767 300 300
20714 2484 300 300
16837 10570 300 300
14907 9338 300 300
18847 6384 300 300
16336 9359 300 300
13586 2327 300 300
11796 6526 300 300
11826 6900 300 300
15595 1749 300 300
13875 7020 300 300
20581 6891 300 300
+++ ../patho_data/peso/pds_8_HE_small.tif ../patho_data/peso/pds_8_HE_labels.tif
11533 1969 300 300
21175 3469 300 300
21130 4496 300 300
14028 9225 300 300
16688 8303 300 300
6868 2737 300 300
12055 1949 300 300
22521 4056 300 300
15050 7267 300 300
19241 4352 300 300
9889 6305 300 300
10405 2802 300 300
21784 3591 300 300
15479 8045 300 300
11467 3413 300 300
11849 3751 300 300
18693 6988 300 300
20996 4658 300 300
19586 7688 300 300
11799 4450 300 300
+++ ../patho_data/peso/pds_32_HE_small.tif ../patho_data/peso/pds_32_HE_labels.tif
21781 4019 300 300
13282 10290 300 300
16980 11065 300 300
13011 8355 300 300
10619 4943 300 300
22483 3111 300 300
12791 3714 300 300
11028 9895 300 300
21131 3833 300 300
11660 10393 300 300
10746 9842 300 300
19597 3363 300 300
12319 7260 300 300
14089 5660 300 300
21890 3687 300 300
10795 5599 300 300
20873 3774 300 300
20414 4442 300 300
20558 8146 300 300
16531 2612 300 300
+++ ../patho_data/peso/pds_43_HE_small.tif ../patho_data/peso/pds_43_HE_labels.tif
12200 1596 300 300
18961 6881 300 300
21496 6675 300 300
21667 6194 300 300
11673 4922 300 300
21354 6660 300 300
20900 7934 300 300
17827 5247 300 300
18356 5903 300 300
21266 5050 300 300
14105 6929 300 300
22425 10317 300 300
22335 10416 300 300
18417 5812 300 300
17721 9076 300 300
14928 5372 300 300
16352 5441 300 300
14203 4486 300 300
21460 6617 300 300
12355 6944 300 300
