+++ ../patho_data/peso/pds_41_HE_small.tif ../patho_data/peso/pds_41_HE_labels.tif
23897 6758 300 300
14128 5582 300 300
19764 1149 300 300
22287 8896 300 300
13323 6342 300 300
19464 5873 300 300
21545 586 300 300
16808 7475 300 300
20893 4490 300 300
22515 6290 300 300
14330 7354 300 300
22304 8176 300 300
22055 3663 300 300
16591 8542 300 300
15883 7421 300 300
18442 2584 300 300
22523 10883 300 300
15486 6690 300 300
18297 8167 300 300
20959 3905 300 300
+++ ../patho_data/peso/pds_40_HE_small.tif ../patho_data/peso/pds_40_HE_labels.tif
11198 7288 300 300
12216 3267 300 300
10641 9653 300 300
18138 10608 300 300
10212 9713 300 300
13610 8950 300 300
12814 2901 300 300
10396 9405 300 300
16984 6228 300 300
13435 5572 300 300
17226 6702 300 300
13804 4333 300 300
17228 3218 300 300
14720 3806 300 300
10536 8512 300 300
17498 832 300 300
10449 8467 300 300
13782 10080 300 300
15027 4344 300 300
15581 10563 300 300
+++ ../patho_data/peso/pds_37_HE_small.tif ../patho_data/peso/pds_37_HE_labels.tif
16096 2543 300 300
18987 3376 300 300
22056 3270 300 300
21051 7325 300 300
16410 5434 300 300
18355 6664 300 300
15987 8911 300 300
14599 10430 300 300
22336 4449 300 300
18166 2784 300 300
12327 11235 300 300
17325 3269 300 300
12580 7566 300 300
13802 4981 300 300
14546 7495 300 300
18721 3465 300 300
19474 10312 300 300
13871 6854 300 300
16012 9129 300 300
18559 3187 300 300
+++ ../patho_data/peso/pds_31_HE_small.tif ../patho_data/peso/pds_31_HE_labels.tif
14150 3042 300 300
18233 10043 300 300
14593 2906 300 300
9346 2112 300 300
20713 4809 300 300
13047 1946 300 300
17557 6347 300 300
19121 1160 300 300
12474 8934 300 300
15526 7612 300 300
15478 486 300 300
15857 5574 300 300
18005 1767 300 300
10443 6142 300 300
15232 10692 300 300
13775 6518 300 300
13370 9593 300 300
13584 5147 300 300
11307 2775 300 300
11825 4951 300 300
+++ ../patho_data/peso/pds_32_HE_small.tif ../patho_data/peso/pds_32_HE_labels.tif
12590 9655 300 300
22566 4725 300 300
12791 3414 300 300
23801 4946 300 300
20246 4017 300 300
13201 10169 300 300
11799 6847 300 300
20903 7890 300 300
13049 3247 300 300
17828 1799 300 300
21244 7891 300 300
12717 4664 300 300
12682 9366 300 300
13279 2877 300 300
16601 3039 300 300
13437 3037 300 300
12552 10304 300 300
11786 9841 300 300
13920 7423 300 300
22366 5264 300 300
