+++ ../patho_data/peso/pds_33_HE_small.tif ../patho_data/peso/pds_33_HE_labels.tif
19066 6001 300 300
25912 5262 300 300
17727 6982 300 300
17123 5025 300 300
20840 3815 300 300
24090 6682 300 300
16567 6627 300 300
22329 3624 300 300
23012 5942 300 300
22960 5951 300 300
22315 3067 300 300
25610 5235 300 300
23123 7561 300 300
22969 6312 300 300
23812 8268 300 300
23735 6630 300 300
22322 5008 300 300
23561 4608 300 300
20408 5171 300 300
13861 3806 300 300
+++ ../patho_data/peso/pds_11_HE_small.tif ../patho_data/peso/pds_11_HE_labels.tif
15454 5233 300 300
14811 6269 300 300
12736 2568 300 300
21391 1084 300 300
15931 9740 300 300
18750 7233 300 300
16334 9971 300 300
12962 8767 300 300
18254 6485 300 300
14218 6353 300 300
18021 9725 300 300
19643 1770 300 300
11433 2451 300 300
17533 2490 300 300
21085 2627 300 300
19310 8231 300 300
12368 9257 300 300
21818 10025 300 300
18192 4636 300 300
12484 10058 300 300
+++ ../patho_data/peso/pds_39_HE_small.tif ../patho_data/peso/pds_39_HE_labels.tif
20092 3527 300 300
16857 4686 300 300
25701 6884 300 300
18848 7697 300 300
25539 6011 300 300
24506 3295 300 300
23779 11410 300 300
19988 3260 300 300
20803 6380 300 300
24534 3416 300 300
21642 4877 300 300
20483 5663 300 300
19606 8918 300 300
21759 10971 300 300
23433 2141 300 300
20800 10081 300 300
21191 1376 300 300
21719 4312 300 300
20070 7500 300 300
24120 5168 300 300
+++ ../patho_data/peso/pds_32_HE_small.tif ../patho_data/peso/pds_32_HE_labels.tif
21588 3776 300 300
14215 9160 300 300
13022 10394 300 300
11956 10469 300 300
10699 8999 300 300
11113 8288 300 300
15482 2800 300 300
12117 9548 300 300
13359 3056 300 300
23565 4065 300 300
12648 7461 300 300
13572 9954 300 300
14064 5648 300 300
21411 7478 300 300
17008 7112 300 300
13306 8584 300 300
21825 4541 300 300
16217 3215 300 300
16351 3420 300 300
22036 3046 300 300
+++ ../patho_data/peso/pds_27_HE_small.tif ../patho_data/peso/pds_27_HE_labels.tif
19259 1824 300 300
16845 1289 300 300
21553 6248 300 300
23686 4696 300 300
23138 2352 300 300
22328 8067 300 300
22620 4100 300 300
16367 1839 300 300
18170 9207 300 300
21460 6343 300 300
16120 4585 300 300
15394 3954 300 300
13363 10702 300 300
22718 1437 300 300
20757 8672 300 300
12911 9983 300 300
15579 7441 300 300
21929 8096 300 300
20288 7476 300 300
14211 8933 300 300
